id,prompt
0,"gorgeous female Emma Stone as Spider-Gwen as venom sharp teeth, realistic character concept, medium shot, evil pose, comic book, illustration, slender symmetrical body, cinematic lighting, hyperdetailed, Tom Bagshaw, Joshua Middleton, single face, insanely detailed and intricate, dark and smokey background"
1,"the fortune teller, illustration, soft lighting, soft details, dark mood, painting oil on canvas by Cedric Peyravernay octane render trending on artstation d&d characters, 4k, 8k, HD"
2,"a couple holding hands sitting on the edge of a cliff watching the world end by nuclear missiles, photorealistic, highly detailed, hyper detailed, fallout, end of the world, Doomsday"
3,"Rogue x-men fanart, semi-realistic anime illustration, symmetrical face, beautiful eyes, fanart, trending on Pixiv, cinematic, 4K anime, cel shaded, Akihiko Yoshida, cinematic, 4K"
4,"the game of life, the hunter and the agile prey."
5,"The chimera a terrifying mixture of a lion, serpent, and goat, illustration, soft lighting, soft details, dark mood, painting oil on canvas by Cedric Peyravernay octane render trending on artstation d&d characters, 4k, 8k, HD"
6,"Twin Peaks poster artwork of a striking landscape by Michael Whelan and Tomer Hanuka, Karol Bak, full of details, by Makoto Shinkai and thomas kinkade, Matte painting, trending on artstation and unreal engine"
7,"beautiful Stella Maeve screaming in a red cave, blue lighting deep in the cave, symmetrical face symmetrical eyes, red hair, portrait, Charlie Bowater character art, no long neck, cinematic lighting "
8,"portrait of a beautiful woman in green in the style of Margaret Keane, realistic, highly detailed, HD, 4k"
9,"Rogue x-men fanart, full body action pose, semi-realistic anime illustration, symmetrical face, beautiful eyes, fanart, trending on Pixiv, cinematic, 4K anime, cel shaded, Akihiko Yoshida, cinematic, 4K"
10,"Chris Hemsworth in an anime portrait style, intricate, detailed, photorealistic, trending on artstation, studio lighting, 4k, 8k"
11,and it will come like a flood of pain pouring down on me
12,"female Rogue x-men fanart, full body action pose, semi-realistic anime illustration, symmetrical face, beautiful eyes, fanart, trending on Pixiv, cinematic, 4K anime, cel shaded, Akihiko Yoshida, cinematic, 4K"
13,"sharp lines, illustrated emoti sticker sheet. chibi characters playing sports in animal onesies, white background, clear lines, ready to print, vinyl decal"
14,Thalassophobia
15,"Loki portrait, anime style, intricate, detailed, photorealistic, trending on artstation, studio lighting, 4k, 8k"
16,"dynamic composition, motion, ultra-detailed, incredibly detailed, a lot of details, amazing fine details and brush strokes, colorful and grayish palette, smooth, HD semirealistic anime CG concept art digital painting, watercolor oil painting of Clean and detailed post-cyberpunk sci-fi close-up schoolgirl wearing thigh highs, in asian city in style of cytus and deemo, blue flame, relaxing, calm and mysterious vibes,, by a Chinese artist at ArtStation, by Huang Guangjian, Fenghua Zhong, Ruan Jia, Xin Jin and Wei Chang. Realistic artwork of a Chinese videogame, gradients, gentle an harmonic grayish colors. set in half-life 2, Matrix, GITS, Blade Runner, Neotokyo Source, Syndicate(2012), dynamic composition, beautiful with eerie vibes, very inspirational, very stylish, with gradients, surrealistic, dystopia, postapocalyptic vibes, depth of field, mist, rich cinematic atmosphere, perfect digital art, mystical journey in strange world"
17,"a photo of a mans hands, photorealistic"
18,Pixel art of a sword. Pixeljoint.
19,"female Rogue x-men fanart, full body action pose, semi-realistic anime illustration, symmetrical face, beautiful Symmetrical eyes, fanart, trending on Pixiv, cinematic, 4K anime, cel shaded, Akihiko Yoshida, cinematic, 4K"
20,"the three fates, illustration, soft lighting, soft details, dark mood, painting oil on canvas by Cedric Peyravernay octane render trending on artstation d&d characters, 4k, 8k, HD"
21,"Portrait of 50 cent ((((screaming)))), D&D, muscular, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha"
22,"Loki portrait, extremely handsome, anime style, intricate, detailed, photorealistic, trending on artstation, studio lighting, 4k, 8k"
23,"female Rogue x-men fanart, full body action pose, semi-realistic anime illustration, symmetrical face, beautiful Symmetrical eyes, fanart, trending on Pixiv, cinematic, 4K anime, cel shaded, Akihiko Yoshida, cinematic, 4K"
24,"The muppets in Dune (2021) wide angle battle scene, highly textured, hyperrealism, god rays, award winning, gritty"
25,Dark Fantasy Lockpicks.
26,"female Phoenix x-men fanart, full body action pose, semi-realistic anime illustration, symmetrical face, beautiful Symmetrical eyes, fanart, trending on Pixiv, cinematic, 4K anime, cel shaded, Akihiko Yoshida, cinematic, 4K"
27,"a rusty old robot with human eyes, hyper detailed, photorealistic, grunge, rusty, retro futuristic"
28,Reservoir dogs 90s sitcom promo poster
29,"Flying Spaghetti Monster, gilded medieval icon painted on wooden board"
30,"Portrait of Kanye West as Emperor Napoleon in Fallout New Vegas, splash art, movie still, cinematic lighting, dramatic, octane render, long lens, shallow depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain"
31,"Twin Peaks poster artwork by Michael Whelan and Tomer Hanuka, Karol Bak, Rendering of All the colors of the sea in your tears,  from scene from Twin Peaks, clean, full of details, by Makoto Shinkai and thomas kinkade, Matte painting, trending on artstation and unreal engine"
32,"Loki portrait, male anime style, illustrated by Avetetsuya Studios, intricate, detailed, photorealistic, trending on artstation, studio lighting, 4k, 8k"
33,Reservoir dogs starring babies stills from film by Quentin Tarantino
34,I sharpen my knife as I look down upon the bay
35,"Twin Peaks point and click adventure artwork by Michael Whelan and Tomer Hanuka, Karol Bak, Rendering of All the colors of the sea in your tears,  from scene from Twin Peaks, clean, full of details, by Makoto Shinkai and thomas kinkade, Matte painting, trending on artstation and unreal engine"
36,professional digital art detailed old wood and rusted castle door entrance flowers with path outside cgsociety behance by Evgeny Lushpin
