image_path,caption,emotion_id,paletz_pred,paletz_pred_id
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_18893.jpg,"a group of people posing with santa claus
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_07640.jpg,"a plate of food with chips and meat
",5,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_01548.jpg,"a woman in a dress riding in a convertible
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_06879.jpg,"a group of raw meat hanging on a rack in a factory
",5,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_00600.jpg,"a man in a coat sitting on a rock by the ocean
",7,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_16435.jpg,"a woman kissing a sunflower
",2,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_14384.jpg,"a woman is cheering as people watch a football match
",3,happiness,2
C:\Users\manee\EmoSet-118K-7\image/anger/anger_08992.jpg,"a man is standing in front of a fire with a bunch of people around him
",4,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_05379.jpg,"a soccer game is going on in front of a goal
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_11722.jpg,"a red tulip is in the foreground with water splashing on it
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_02058.jpg,"two cyclists on a dirt road in the woods
",3,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_03607.jpg,"the london eye is a large wheel in the sky
",0,happiness,2
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_04183.jpg,"a small worm crawling on the ground
",5,fear,6
C:\Users\manee\EmoSet-118K-7\image/anger/anger_01871.jpg,"a man holding a stick over a bonfire
",4,sadness,7
C:\Users\manee\EmoSet-118K-7\image/awe/awe_05031.jpg,"three elderly women are praying together
",1,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_19112.jpg,"a woman in a blue suit standing next to a killer whale
",3,fear,6
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_07594.jpg,"a woman in a black dress singing into a microphone
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_14208.jpg,"a woman and two children are posing for a picture
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_10449.jpg,"a woman holding a bouquet of flowers and giving the thumbs up
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_03996.jpg,"an aerial view of the ocean and beach at sunset
",1,happiness,2
C:\Users\manee\EmoSet-118K-7\image/fear/fear_14095.jpg,"a dark night scene
",6,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_02948.jpg,"a girl holding a large stuffed tiger
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_06393.jpg,"a young girl holding up balloons
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_14988.jpg,"a group of children are standing in front of a camera
",0,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_09925.jpg,"a yellow ball on a christmas tree
",0,happiness,2
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_05319.jpg,"a woman riding a horse
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_11077.jpg,"a man holding a sign
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_09592.jpg,"a man dressed in a mask and a helmet standing on a sidewalk
",6,amusement,0
