image_path,caption,emoset label,paletz pred,paletz pred id,goemo pred,goemo pred id,semeval pred,semeval pred id
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_01389.jpg,"In a vibrant display of unity and joy, a diverse group of seven women stands together in front of a rustic brick wall. They are all smiling broadly, radiating warmth and happiness. Each woman showcases her unique style, from playful curls to sleek hair, and casual outfits that reflect individuality. Their body language indicates closeness, with arms around each other and relaxed postures, suggesting a sense of camaraderie and celebration. This image captures the essence of friendship and the joy of togetherness.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_16206.jpg,"A joyful child plays exuberantly in a fountain, water cascading around them as they beam with a wide, infectious smile. Their laughter and carefree spirit embody sheer happiness, capturing a moment of pure delight and satisfaction in the playful dance of water and sunlight.",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_01907.jpg,"In this joyful scene, a couple stands together, smiling broadly as they prepare to cut a beautifully decorated wedding cake. The woman, dressed in an elegant, sparkling gown, is leaning closer to her partner, who is neatly attired in a classic tuxedo. Their expressions are filled with happiness and excitement, embodying a sense of celebration and love. In the background, guests are capturing the moment, enhancing the festive atmosphere of this special occasion. The presence of champagne glasses and a well-lit setting adds",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_02869.jpg,"The image captures a man holding up a pair of pants that have a large hole in the front, revealing a look of surprise and frustration on his face. His expression suggests a mix of confusion and annoyance, as he examines the unexpected damage to his clothing, likely feeling embarrassed about the situation. The casual setting adds to the lighthearted yet awkward nature of the moment.",4,sadness,7,disgust,5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_00007.jpg,"A serene and haunting scene unfolds in a mist-laden graveyard, where ancient tombstones rise from the soft, grassy ground. The thick fog envelops the landscape, blurring the outlines of distant monuments and creating an atmosphere of quiet reflection and somberness. The stillness suggests a deep connection to memories of those who have passed, evoking feelings of melancholy and contemplation.",7,sadness,7,fear,6,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_12210.jpg,"In a dynamic moment captured on the track, two runners race against each other; one displays determination and focus while sprinting with intensity, and the other exudes excitement and energy, embodying a spirit of competition. The image conveys a sense of urgency and camaraderie, as onlookers cheer them on, creating an atmosphere filled with motivation and encouragement.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_18309.jpg,"The image captures two young women walking side by side, both dressed in sporty outfits and accessories like baseball caps and knee-high socks. They exude a sense of joy and confidence, with smiling faces and carefree postures. The lively atmosphere suggests they are enjoying a festive event, likely in a celebratory or social setting. Their playful expressions and vibrant attire reflect excitement and camaraderie, indicative of a positive, happy emotion.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_10529.jpg,"In a surreal and dramatic setting, a woman stands confidently in a modern living room, embodying a striking mix of defiance and dark humor. She holds a chainsaw in one hand and a playful, sinister mask in the other, surrounded by a chaotic scene. A figure lies on the floor, dressed in a graphic t-shirt, with splashes of red creating an unsettling yet surreal ambiance. The contrast between the playful elements and the intense imagery suggests a feeling of empowerment amidst chaos, inviting a complex",6,happiness,2,disgust,5,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_07799.jpg,"A lively and vibrant scene captures a carnival parade, where participants adorned in bright blue costumes and sparkly attire exude joy and celebration. The individuals showcase a playful camaraderie, with one wearing a flashy suit resembling a clear sky, while another matches in colorful, flowing attire. This festive atmosphere reflects exuberance, enthusiasm, and a sense of community, inviting observers to feel the infectious spirit of the celebration.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_13411.jpg,"In this charming scene, a group of playful sea otters floats together in the water, appearing relaxed and content as they drift on their backs. Their soft fur glistens in the light, and some are playfully interacting with one another, showcasing a sense of joy and camaraderie. The serene environment enhances their tranquil demeanor, evoking feelings of happiness and warmth. This image captures a moment of carefree bliss in nature.",6,happiness,2,joy,2,joy,0
